HasCarLoan,LastCallDurationSecs,HasHHInsurance,LastContactMonth,PrevCampaignOutcome,EducationLevel,Age,LastContactDayOfMonth,NumAttemptsPrevCampaign,NumContactsCurrentCampaign,Balance,MaritalStatus,Job,CommunicationType,LastCallHourOfDay,HasCreditDefault,DaysPassed,CarInsurance
no,168,yes,may,,,47,26,0,1,-213,single,technician,,11,no,-1,0
no,600,no,aug,,tertiary,33,4,0,1,1699,married,technician,cellular,17,no,-1,1
no,164,no,jun,,primary,39,17,0,4,1522,single,blue-collar,,12,no,-1,0
no,79,yes,nov,,tertiary,57,18,0,1,894,married,self-employed,cellular,13,no,-1,0
no,153,no,oct,success,primary,58,8,1,1,565,married,retired,telephone,15,no,93,1
no,362,yes,jun,,primary,60,11,0,1,6307,married,retired,,12,no,-1,0
yes,93,yes,may,failure,secondary,39,7,3,4,660,married,blue-collar,cellular,14,no,168,0
no,745,no,jul,failure,tertiary,43,16,1,1,0,married,unemployed,cellular,12,no,281,1
no,96,no,jul,,secondary,44,30,0,1,1326,married,services,cellular,11,no,-1,0
no,515,yes,nov,failure,secondary,39,18,2,1,3732,married,admin.,cellular,14,no,181,0
no,160,no,sep,,primary,77,8,0,4,1385,married,retired,telephone,15,no,-1,0
yes,1658,yes,feb,failure,secondary,60,6,1,1,-41,divorced,admin.,cellular,14,no,262,1
no,138,yes,feb,,secondary,41,2,0,1,437,married,admin.,cellular,15,no,-1,0
no,154,no,aug,other,secondary,59,27,1,2,1341,married,retired,cellular,10,no,97,0
yes,732,yes,may,,secondary,37,7,0,2,245,single,admin.,,15,no,-1,1
no,417,no,may,,secondary,63,27,0,2,641,married,blue-collar,cellular,17,no,-1,1
no,299,no,aug,,tertiary,30,5,0,2,685,single,management,cellular,14,no,-1,0
yes,587,no,jul,,secondary,29,3,0,3,84,single,services,,16,no,-1,1
no,1925,yes,may,other,tertiary,37,12,7,1,1894,single,technician,cellular,11,no,351,0
no,318,no,aug,,secondary,60,16,0,2,367,divorced,technician,cellular,12,no,-1,1
no,167,no,sep,failure,,56,8,2,1,230,married,retired,cellular,16,no,92,0
no,214,yes,may,,primary,51,30,0,2,752,married,retired,,16,no,-1,0
no,144,no,jul,,primary,55,31,0,2,842,married,blue-collar,telephone,14,no,-1,0
no,506,no,jun,,secondary,63,8,0,1,1490,divorced,retired,cellular,16,no,-1,1
no,163,no,mar,,primary,73,30,0,2,2308,divorced,retired,telephone,13,no,-1,1
no,529,yes,nov,,secondary,31,21,0,1,3950,single,admin.,cellular,9,no,-1,1
no,77,yes,may,,tertiary,60,29,0,3,1900,divorced,technician,,10,no,-1,0
no,115,yes,feb,failure,secondary,43,2,2,3,1109,married,blue-collar,cellular,12,no,264,0
no,164,yes,nov,,tertiary,55,19,0,1,563,married,management,cellular,14,no,-1,0
no,142,yes,may,,tertiary,57,21,0,10,461,divorced,management,,12,no,-1,0
no,231,yes,nov,,primary,57,20,0,2,0,married,unemployed,cellular,17,no,-1,0
no,711,yes,aug,,secondary,50,17,0,1,2218,married,technician,cellular,10,no,-1,1
no,178,no,nov,,secondary,53,9,0,1,10541,married,admin.,cellular,11,no,-1,1
no,452,no,apr,,secondary,40,30,0,1,2129,divorced,admin.,cellular,14,no,-1,1
no,76,yes,nov,,secondary,42,19,0,1,300,married,technician,cellular,14,no,-1,0
yes,751,yes,may,,secondary,30,27,0,1,-213,single,admin.,,16,no,-1,1
no,92,no,jun,,secondary,36,17,0,1,787,single,admin.,,12,no,-1,0
no,274,no,apr,,secondary,29,21,0,1,3466,single,technician,cellular,9,no,-1,1
no,227,no,apr,,secondary,28,20,0,5,2840,single,management,cellular,10,no,-1,1
no,120,yes,feb,,secondary,38,17,0,1,755,married,admin.,cellular,17,no,-1,1
no,136,yes,jul,,primary,32,28,0,2,60,single,blue-collar,cellular,10,no,-1,0
no,129,no,aug,,tertiary,42,19,0,4,356,married,management,cellular,13,no,-1,0
no,395,no,dec,,,69,9,0,1,426,married,retired,telephone,11,no,-1,1
no,345,yes,jun,,primary,48,2,0,3,1849,married,unemployed,,17,no,-1,0
no,121,yes,aug,other,secondary,30,6,3,6,81,single,admin.,cellular,12,no,112,0
no,159,no,mar,,secondary,43,10,0,3,1358,married,technician,cellular,15,no,-1,1
no,240,no,jan,failure,tertiary,27,25,3,1,2855,married,admin.,cellular,9,no,301,1
no,417,no,may,success,secondary,47,4,1,1,335,married,technician,cellular,13,no,76,1
no,156,yes,mar,,secondary,29,3,0,1,316,single,technician,cellular,14,no,-1,1
yes,604,no,jul,,secondary,26,10,0,1,81,single,admin.,cellular,15,no,-1,0
yes,123,yes,apr,,secondary,35,20,0,3,0,married,blue-collar,cellular,15,no,-1,0
no,135,yes,feb,,tertiary,28,6,0,2,731,single,housemaid,cellular,13,no,-1,0
no,283,yes,may,,secondary,44,8,0,3,138,married,blue-collar,,11,no,-1,0
no,199,yes,may,failure,secondary,30,15,1,2,1395,single,technician,cellular,11,no,354,0
no,80,yes,nov,other,secondary,56,17,2,2,1270,married,admin.,cellular,13,no,165,0
yes,686,no,jul,,secondary,32,17,0,1,2017,divorced,admin.,cellular,14,no,-1,0
no,194,no,apr,,secondary,61,20,0,1,243,married,retired,cellular,11,no,-1,1
no,49,no,jun,,,58,6,0,2,1873,single,management,,10,no,-1,0
no,246,no,sep,success,secondary,60,8,3,1,957,married,unemployed,cellular,11,no,184,1
no,1062,yes,jul,,tertiary,43,14,0,4,189,married,admin.,cellular,10,no,-1,1
no,516,no,may,,primary,38,13,0,1,1401,married,blue-collar,cellular,15,no,-1,1
no,28,yes,jul,,secondary,49,31,0,25,199,married,services,cellular,11,no,-1,0
no,156,yes,nov,,primary,37,20,0,4,3370,married,blue-collar,cellular,16,no,-1,0
no,598,no,jun,failure,tertiary,32,30,5,4,64,single,student,cellular,14,no,105,1
yes,477,yes,aug,,secondary,33,13,0,2,227,married,services,cellular,13,no,-1,1
no,323,no,jul,other,tertiary,27,15,2,2,2489,single,management,cellular,16,no,163,1
no,157,yes,aug,other,tertiary,28,27,1,2,223,single,management,telephone,15,no,119,1
yes,77,yes,may,,,27,27,0,1,910,single,student,,9,no,-1,0
no,206,no,nov,,secondary,32,21,0,1,0,single,student,cellular,9,no,-1,0
no,361,no,jun,,secondary,38,6,0,1,0,married,blue-collar,,11,no,-1,0
no,102,yes,aug,,secondary,45,19,0,2,251,married,admin.,cellular,12,no,-1,0
no,81,yes,may,failure,primary,52,15,3,2,134,married,blue-collar,cellular,13,no,295,0
no,382,no,may,success,secondary,21,24,7,1,215,single,student,cellular,9,no,89,1
no,89,yes,may,,secondary,24,26,0,3,984,married,blue-collar,,9,no,-1,0
no,522,no,jun,,tertiary,40,17,0,1,0,divorced,technician,,11,no,-1,1
no,656,no,jul,,tertiary,30,17,0,3,178,single,technician,cellular,13,no,-1,1
no,99,no,feb,,tertiary,72,13,0,1,0,married,retired,cellular,16,no,-1,1
no,349,no,jan,,tertiary,47,12,0,1,1639,divorced,services,cellular,14,no,-1,1
no,182,no,nov,success,tertiary,45,10,1,2,160,married,management,cellular,11,no,194,1
no,414,yes,nov,failure,secondary,29,25,1,1,265,single,admin.,cellular,17,no,184,1
